descripcion_carrera.nombre,descripcion_carrera.codigo_mes,descripcion_carrera.codigo_pnfq,descripcion_carrera.codigo_unesco,descripcion_carrera.codigo_carrera
MUSICA,1,01,021,238
ENSINO DA LÍNGUA PORTUGUESA E LÍNGUAS NACIONAIS,1,05,142,006
CIÊNCIAS DE EDUCAÇÃO,1,05,142,051
CIÊNCIAS DO DESPORTO E EDUCAÇÃO FÍSICA,1,05,142,052
EDUCAÇÃO DE INFÂNCIA,1,05,142,053
EDUCAÇÃO FÍSICA E DESPORTO,1,05,142,054
ENSINO DA LÍNGUA E LITERATURA FRANCESA,1,05,142,055
ENSINO DA LÍNGUA E LITERATURA INGLESA,1,05,142,056
ENSINO DA LÍNGUA E LITERATURA PORTUGUESA,1,05,142,057
ENSINO DA LÍNGUA E LITERATURAS AFRICANAS,1,05,142,058
ENSINO DA LÍNGUA FRANCESA,1,05,142,059
ENSINO DA LÍNGUA INGLESA,1,05,142,060
ENSINO DA LÍNGUA PORTUGUESA,1,05,142,061
ENSINO DA LÍNGUA PORTUGUESA  INGLESA,1,05,142,062
ENSINO DE BIOLOGIA,1,05,142,063
ENSINO DE EDUCAÇÃO ESPECIAL,1,05,142,064
ENSINO DE EDUCAÇÃO PRÉ-ESCOLAR,1,05,142,065
ENSINO DE EDUCAÇÃO PRIMÁRIA,1,05,142,066
ENSINO DE FILOSOFIA,1,05,142,067
ENSINO DE FÍSICA,1,05,142,068
ENSINO DE GEOGRAFIA,1,05,142,069
ENSINO DE HISTÓRIA,1,05,142,070
ENSINO DE HISTÓRIA E DIDÁTICA,1,05,142,071
ENSINO DE INFORMÁTICA EDUCATIVA,1,05,142,072
ENSINO DE MATEMÁTICA,1,05,142,073
ENSINO DE PEDAGOGIA,1,05,142,074
ENSINO DE PSICOLOGIA,1,05,142,075
ENSINO DE PSICOLOGIA E DIDÁTICA,1,05,142,076
ENSINO DE QUÍMICA,1,05,142,077
ENSINO DE SOCIOLOGIA,1,05,142,078
ENSINO EM MAGISTÉRIO PRIMÁRIO,1,05,142,079
ENSINO ESPECIAL,1,05,142,080
ENSINO PRÉ-ESCOLAR,1,05,142,081
ENSINO PRIMÁRIO,1,05,142,082
GESTÃO ESCOLAR,1,05,142,084
LINGUÍSTICA-FRANCÊS,1,05,142,086
LINGUÍSTICA-PORTUGUÊS,1,05,142,087
MAGISTÉRIO PRIMÁRIO,1,05,142,088
PEDAGOGIA,1,05,142,089
FORMAÇÃO DE PROFESORES,1,05,142,227
AGRONOMIA,2,02,062,007
AGROPECUÁRIA,2,02,062,008
GESTÃO AGRÁRIA,2,02,062,009
ZOOTECNIA,2,02,062,010
ENGENHARIA AGRONÔMICA,2,02,062,135
ENGENHARIA FLORESTAL,2,02,062,136
ZOOVETERINARIA,2,02,064,011
METEOROLOGÍA,2,03,044,228
MECÂNICA INDUSTRIAL,2,03,052,225
ENGENHARIA ZOOTECNICA,2,03,052,232
INFORMÁTICA EDUCATIVA,2,05,142,236
ENGENHARIA DE GEOLOGIA E MINAS,2,06,044,091
ENGENHARIA DE METALURGIA E MATÉRIAS,2,06,044,092
ENGENHARIA DE MINAS,2,06,044,093
ENGENHARIA EM GEOLOGIA,2,06,044,095
ENGENHARIA GEOGRÁFICA,2,06,044,096
REFINARIA DE PETRÓLEOS,2,06,044,097
ENGENHARIA INFORMÁTICA,2,06,048,048
CIÊNCIAS DE COMPUTAÇÃO,2,06,048,098
ENGENHARIA INFORMÁTICA E COMUNICAÇÃO,2,06,048,100
INFORMÁTICA,2,06,048,101
ENGENHARIA INDUSTRIAL E SISTEMAS ELÉCTRICOS,2,06,052,049
ELECTROMECÂNICA,2,06,052,102
ENGENHARIA DE ELETROMECÂNICA,2,06,052,103
ENGENHARIA DE GESTÃO INDUSTRIAL,2,06,052,104
ENGENHARIA DE ORGANIZAÇÃO E MANUTENÇÃO INDUSTRIAL,2,06,052,105
ENGENHARIA DE PRODUÇÃO INDUSTRIAL,2,06,052,106
ENGENHARIA DE TELECOMUNICAÇÕES,2,06,052,107
ENGENHARIA DE TELECOMUNICAÇÕES E ELECTRÓNICA,2,06,052,108
ENGENHARIA ELECTRICA,2,06,052,109
ENGENHARIA ELECTRÓNICA E TELE,2,06,052,111
ENGENHARIA ELECTROTECNIA,2,06,052,112
ENGENHARIA ELETROTECNIA E TELECOMUNICAÇÕES,2,06,052,113
ENGENHARIA EM ELECTRONICA,2,06,052,114
ENGENHARIA EM INFORMÁTICA DE GESTÃO,2,06,052,115
ENGENHARIA EM PESQUISA E PRODUÇÃO DE PETRÓLEO,2,06,052,116
ENGENHARIA ENERGÉTICA,2,06,052,117
ENGENHARIA INDUSTRIAL E SISTEMA ELECTRICA,2,06,052,118
ENGENHARIA INFORMÁTICA E SISTEMAS DE INFORMAÇÃO,2,06,052,119
ENGENHARIA MECÂNICA,2,06,052,120
ENGENHARIA MECATRÓNICA,2,06,052,121
ENGENHARIA METALURGIA E MATERIAIS,2,06,052,122
ENGENHARIA METALURGICA,2,06,052,123
ENGENHARIA QUÍMICA,2,06,052,124
ENGENHARIA REDES E TELECOMUNICAÇÕES,2,06,052,125
INFORMÁTICA DE GESTÃO,2,06,052,126
ENGENHARIA DE PETRÓLEO,2,06,054,094
ARQUITETURA,2,06,058,127
ARQUITETURA E URBANISMO,2,06,058,128
"ARQUITETURA, URBANISMO E CONSTRUÇÃO",2,06,058,129
ENGENHARIA CIVIL,2,06,058,131
ENGENHARIA EM CONSTRUÇÃO CIVIL,2,06,058,132
ENGENHARIA HIDRÁULICA,2,06,058,133
PLANEAMENTO REGIONAL E URBANO,2,06,058,134
ENGENHARIA DE AMBIENTE,2,06,085,139
ENGENHARIA DE AMBIENTE E GESTÃO DO TERRITÓRIO,2,06,085,140
ENGENHARIA DE MINERAÇÃO E AMBIENTE,2,06,085,141
ENGENHARIA DOS RECURSOS NATURAIS E AMBIENTE,2,06,085,143
FÍSICA,2,07,044,144
QUÍMICA,2,07,044,145
MATEMÁTICA,2,07,046,146
BIOLOGIA,2,09,042,174
BIOLOGIA MARINHA,2,09,042,175
GEOGRAFIA,2,09,044,083
GEOFÍSICA,2,09,044,176
GEOLOGIA,2,09,044,177
PSICOLOGIA CLÍNICA,3,08,031,148
ELECTROMEDICINA,3,08,052,149
MEDICINA VETERINÁRIA,3,08,064,150
ENFERMAGEM,3,08,072,138
ANÁLISE CLÍNICA E LABORATÓRIO,3,08,072,153
ANÁLISE CLÍNICA E SAÚDE PÚBLICA,3,08,072,154
ANÁLISES CLÍNICAS,3,08,072,155
CARDIOPNEUMOLOGIA,3,08,072,156
ENFERMAGEM E OBSTETRÍCIA,3,08,072,160
FARMÁCIA,3,08,072,162
FISIOTERAPIA,3,08,072,163
LABORATÓRIO CLINICO,3,08,072,164
MEDICINA,3,08,072,165
MEDICINA DENTÁRIA,3,08,072,166
MOTRICIDADE HUMANA,3,08,072,167
NUTRIÇÃO,3,08,072,168
NUTRIÇÃO E DIETÉTICA,3,08,072,169
ODONTOLOGIA,3,08,072,170
RADIOLOGIA,3,08,072,171
REABILITAÇÃO  FÍSICA E PSICOSSOCIAL,3,08,072,172
SAÚDE PÚBLICA,3,08,072,173
CIENCIAS DEPORTO E MOTRICIDADE HUMANA,3,08,072,221
CINEMA E TELEVISÃO,4,01,021,001
ARTES,4,01,021,223
ARTES PLÀSTICAS,4,01,021,231
DESENHO,4,01,021,242
FILOSOFIA,4,01,022,002
LÍNGUA PORTUGUESA E COMUNICAÇÃO,4,01,022,003
LÍNGUAS,4,01,022,004
COMUNICAÇÃO EMPRESARIAL E LÍNGUAS,4,01,022,179
HISTÓRIA,4,01,022,181
LÍNGUA E LITERATURA FRANCESA,4,01,022,182
LÍNGUA E LITERATURA INGLESA,4,01,022,183
LÍNGUA E LITERATURA PORTUGUESA,4,01,022,184
LÍNGUAS E LITERATURAS ANGOLANAS,4,01,022,187
LITERATURA E LÍNGUA INGLESA,4,01,022,189
TEOLOGIA,4,01,022,190
ECONOMIA E GESTÃO,4,04,031,014
ECONOMIA E GESTÃO DE SAÚDE,4,04,031,015
HOTELARIA E TURISMO,4,04,034,017
ADMINISTRAÇÃO DE EMPRESAS,4,04,034,018
ADMINISTRAÇÃO E GESTÃO,4,04,034,019
ADMINISTRAÇÃO E GESTÃO DO TERRITÓRIO,4,04,034,020
ADMINISTRAÇÃO E MARKETING,4,04,034,021
ADMINISTRAÇÃO PÚBLICA,4,04,034,022
CIÊNCIAS EMPRESARIAS E GESTÃO,4,04,034,023
CONTABILIDADE E ADMINISTRAÇÃO,4,04,034,024
CONTABILIDADE E AUDITORIA,4,04,034,025
CONTABILIDADE E FINANÇAS,4,04,034,026
CONTABILIDADE E GESTÃO,4,04,034,027
CONTABILIDADE SUPERIOR DE GESTÃO,4,04,034,028
GESTÃO,4,04,034,029
GESTÃO BANCARIA,4,04,034,030
GESTÃO BANCARIA E SEGUROS,4,04,034,031
GESTÃO COMERCIAL E MARKETING,4,04,034,032
GESTÃO DE EMPRESAS,4,04,034,033
GESTÃO DE RECURSOS HUMANOS E MARKETING,4,04,034,035
GESTÃO E ADMINISTRAÇÃO DE EMPRESAS,4,04,034,036
GESTÃO E ADMINISTRAÇÃO DE MARKETING,4,04,034,037
GESTÃO E ADMINISTRAÇÃO PÚBLICA,4,04,034,038
GESTÃO E CONTABILIDADE,4,04,034,039
GESTÃO E MARKETING,4,04,034,040
GESTÃO EMPRESARIAL E CONTABILIDADE,4,04,034,041
GESTÃO HOSPITALAR,4,04,034,043
GESTÃO HOTELEIRA,4,04,034,044
"GESTÃO HOTELEIRA, TURISMO E ANIMAÇÃO",4,04,034,045
GESTÃO PÚBLICA,4,04,034,046
TURISMO E GESTÃO HOTELEIRA,4,04,034,050
CIÊNCIAS ECONÔMICAS EMPRESARIAIS,4,04,034,207
CONTABILIDADE,4,04,034,208
ORGANIZAÇÃO E GESTÃO DE EMPRESA,4,04,034,215
SECRETARIADO ADMINISTRATIVO,4,04,034,216
GESTÃO DE CONTABILIDADES,4,04,034,224
SECRETARIADO EXECUTIVO,4,04,034,230
COMUNICAÇÃO APLICADO,4,10,022,178
LINGUÍSTICA-INGLÉS,4,10,022,188
ANTROPOLOGIA,4,10,031,005
ECONOMIA,4,10,031,013
CIÊNCIA ECONÔMICA E GESTÃO,4,10,031,191
CIÊNCIA POLITICA E RELAÇÕES INTERNACIONAIS,4,10,031,192
CIÊNCIAS CRIMINAIS,4,10,031,193
CIÊNCIAS POLÍTICAS,4,10,031,194
CIÊNCIAS POLÍTICAS E ADMINISTRAÇÃO DO TERRITÓRIO,4,10,031,195
CIÊNCIAS POLITICAS E RELAÇÕES INTERNACIONAIS,4,10,031,196
GEODEMOGRAFIA,4,10,031,198
PSICOLOGIA,4,10,031,199
PSICOLOGIA DE TRABALHO,4,10,031,200
PSICOLOGIA ESCOLAR,4,10,031,201
PSICOLOGIA JURÍDICA,4,10,031,202
RELAÇÕES INTERNACIONAIS,4,10,031,203
SOCIOLOGIA,4,10,031,204
SERVIÇO SOCIAL,4,10,031,220
DEREITO -JURÍDICO FORENCE,4,10,031,222
CIÊNCIAS SOCIAIS,4,10,031,229
ENGENHARIA DE RECURSOS HUMANOS,4,10,031,234
GESTÃO DE TURISMO,4,10,031,235
LITERATURA,4,10,031,237
PSICOLOGIA E DIDÁTICA,4,10,031,239
HISTÓRIA E DIDÁTICA,4,10,031,240
ESTATÍSTICA E GESTÃO DE INFORMAÇÃO,4,10,031,241
COMUNICAÇÃO SOCIAL,4,10,032,180
CIÊNCIAS DE COMUNICAÇÃO,4,10,032,205
JORNALISMO,4,10,032,206
CIÊNCIAS DA INFORMAÇÃO,4,10,032,226
GESTÃO DE RECURSOS HUMANOS,4,10,034,034
LOGÍSTICA E GESTÃO COMERCIAL,4,10,034,214
CIÊNCIAS JURÍDICAS,4,10,038,217
DIREITO,4,10,038,218
INFORMÁTICA E GESTÃO DE EMPRESA,4,10,048,219
